DATE,FEDFUNDS,GDPPOT_GDPC1_GDPDEF_PC1
1992-01-01,4.0233333333333333,3.22850475410810907100
1992-04-01,3.7700000000000000,3.24243278992548168500
1992-07-01,3.2566666666666667,2.96263586455508952900
1992-10-01,3.0366666666666667,3.29639662427933383800
1993-01-01,3.0400000000000000,3.34615203600123112000
1993-04-01,3.0000000000000000,3.29342379592383815900
1993-07-01,3.0600000000000000,3.35799885069737574000
1993-10-01,2.9900000000000000,3.46954675404952213000
1994-01-01,3.2133333333333333,3.48365141120373026600
1994-04-01,3.9400000000000000,3.64261969977336918700
1994-07-01,4.4866666666666667,3.56155092267672550400
1994-10-01,5.1666666666666667,3.78314445989498444000
1995-01-01,5.8100000000000000,3.72013866308424802200
1995-04-01,6.0200000000000000,3.52502750662050567200
1995-07-01,5.7966666666666667,3.48447792920260517100
1995-10-01,5.7200000000000000,3.38459411617387157000
1996-01-01,5.3633333333333333,3.31484462149297773600
1996-04-01,5.2433333333333333,3.67146758510456599800
1996-07-01,5.3066666666666667,3.47634588835974503200
1996-10-01,5.2800000000000000,3.659505352254521705826600
1997-01-01,5.2766666666666667,3.72345280929818254500
1997-04-01,5.5233333333333333,3.77580838931858025200
1997-07-01,5.5333333333333333,4.09139492762181982100
1997-10-01,5.5066666666666667,3.72567287576399342000
1998-01-01,5.5200000000000000,3.05196872670146801000
1998-04-01,5.5000000000000000,3.05995232247742244600
1998-07-01,5.5333333333333333,3.17227007123422104600
1998-10-01,4.8600000000000000,3.38598930135284276800
1999-01-01,4.7333333333333333,3.60265240298175401400
1999-04-01,4.7466666666666667,3.71920559111865154900
1999-07-01,5.0933333333333333,3.74915457467021817800
1999-10-01,5.3066666666666667,4.47019147993630035100
2000-01-01,5.6766666666666667,4.64901717415351438200
2000-04-01,6.2733333333333333,5.42698892663743176500
2000-07-01,6.5200000000000000,5.33991509304470557900
2000-10-01,6.4733333333333333,5.16440247298516007900
2001-01-01,5.5933333333333333,4.55674290499664308000
2001-04-01,4.3266666666666667,4.43309828445459509500
2001-07-01,3.4966666666666667,3.56192494667363136700
2001-10-01,2.1333333333333333,2.99127676645761521900
2002-01-01,1.7333333333333333,2.55627673709241465500
2002-04-01,1.7500000000000000,2.14520149635489712400
2002-07-01,1.7400000000000000,2.16424833253501151300
2002-10-01,1.4433333333333333,2.32153409566876192700
2003-01-01,1.25000000000000000000,2.53824616505873099400
2003-04-01,1.24666666666666666667,2.66632176857929786600
2003-07-01,1.01666666666666666667,3.30642139124131776500
2003-10-01,0.99666666666666666667,3.63012091483346587700
2004-01-01,1.00333333333333333333,3.91827065779301655900
2004-04-01,1.01000000000000000000,4.68841100743467792400
2004-07-01,1.4333333333333333,4.94526859865140277500
2004-10-01,1.9500000000000000,5.36846930672145402900
2005-01-01,2.4700000000000000,5.73981982470790194300
2005-04-01,2.9433333333333333,5.55771753534185051900
2005-07-01,3.4600000000000000,6.05739865900405465300
2005-10-01,3.9800000000000000,6.10151510613492924600
2006-01-01,4.4566666666666667,6.34709108971393997300
2006-04-01,4.9066666666666667,6.43366924329445369800
2006-07-01,5.2466666666666667,5.91566937446037310800
2006-10-01,5.2466666666666667,5.41445535952359502800
2007-01-01,5.2566666666666667,5.69620271986774080800
2007-04-01,5.2500000000000000,5.42766785393085907900
2007-07-01,5.0733333333333333,5.20059162435689234000
2007-10-01,4.4966666666666667,5.32972131908791925200
2008-01-01,3.1766666666666667,3.95016988120282693400
